userid,country,iso2,iso3,city,state
5535,United States of America,US,USA,Portland,Portland
5536,Moldova,MD,MDA,Takoma Park,
5537,No Location,,,,Nan
5538,United States of America,US,USA,Houston,
5539,Canada,CA,CAN,Edmonton,
5540,United States of America,US,USA,Houston,
5541,No Location,,,,Nan
5542,Canada,CA,CAN,San,
5543,Tanzania,TZ,TZA,,Coast
5544,United States of America,US,USA,Manhattan,
1654,France,FR,FRA,Paris,
5545,Belgium,BE,BEL,Brussels,
5546,Burkina Faso,BF,BFA,Pâ,
4548,No Location,,,,Nan
5547,No Location,,,,Nan
5548,No Location,,,,Nan
2497,No Location,,,,Nan
5549,No Location,,,,Nan
4712,Japan,JP,JPN,Usa,York
1908,No Location,,,,Nan
5550,United States of America,US,USA,Los Angeles,Angeles
5551,Ireland,IE,IRL,Cork,Cork
5552,Morocco,MA,MAR,Amherst,
892,Germany,DE,DEU,Mainz,
5553,United States of America,US,USA,Grand Rapids,Michigan
5554,Australia,AU,AUS,Melbourne,
5062,United Arab Emirates,AE,ARE,,
5062,United Arab Emirates,AE,ARE,,
5062,United Arab Emirates,AE,ARE,,
5555,United Kingdom,UK,GBR,Edinburgh,
5556,United Kingdom,UK,GBR,Leeds,Leeds
5557,United States of America,US,USA,Carolina,South Carolina
5558,Canada,CA,CAN,Toronto,
5559,No Location,,,,Nan
5560,Turkey,TR,TUR,Of,Kingston
4935,United States of America,DC,USA,,
5561,No Location,,,,Nan
4221,No Location,,,,Nan
5562,United Kingdom,UK,GBR,London,
5563,United Kingdom,UK,GBR,London,
2304,Tonga,TO,TON,Accrington,
5564,Canada,CA,CAN,Vallejo,
5565,United States of America,US,USA,Of,Texas
5566,No Location,,,,Nan
5567,United States of America,US,USA,Usa,Florida
5568,United Kingdom,UK,GBR,London,
5569,No Location,,,,Nan
5570,United States of America,US,USA,Washington,Washington
5571,Ghana,GH,GHA,Wa,
5572,United States of America,US,USA,Usa,Missouri
5573,No Location,,,,Nan
5574,Nigeria,NG,NGA,,
484,No Location,,,,Nan
5575,United States of America,US,USA,Palm Beach,
5322,United States of America,US,USA,Usa,Virginia
5576,United States of America,US,USA,Los Angeles,Angeles
5577,Canada,CA,CAN,Toronto,
5405,No Location,,,,Nan
5578,United States of America,US,USA,Portland,Portland
5579,United Kingdom,UK,GBR,London,
5580,Morocco,MA,MAR,Cambridge,
5581,No Location,,,,Nan
5006,United States of America,NY,NYC,,
53,United Arab Emirates,AE,ARE,Dubai,
5582,No Location,,,,Nan
5583,Nigeria,NG,NGA,,
1409,United States of America,US,USA,Columbia,British Columbia
5584,United States of America,US,USA,Usa,California
5585,No Location,,,,Nan
5586,Burkina Faso,BF,BFA,Pâ,
5587,No Location,,,,Nan
5588,Indonesia,ID,IDN,Boise,
5589,No Location,,,,Nan
5590,Laos,LA,LAO,,
5591,United States of America,US,USA,York,York
5592,No Location,,,,Nan
2821,Belgium,BE,BEL,Brussels,
5593,No Location,,,,Nan
5594,United Kingdom,UK,GBR,,Devon
5595,United States of America,US,USA,York,York
5596,No Location,,,,Nan
4788,Canada,CA,CAN,Linda,
5597,No Location,,,,Nan
5598,United States of America,US,USA,Las Vegas,Vegas
5599,United States of America,US,USA,Ontario,Ontario
5600,United States of America,US,USA,Usa,California
5601,United States of America,US,USA,Detroit,
5602,United States of America,NY,NYC,,
5603,Canada,CA,CAN,Toronto,
5604,United States of America,US,USA,Usa,Missouri
5605,No Location,,,,Nan
-1,No Location,,,,Nan
5606,No Location,,,,Nan
5607,United States of America,US,USA,Los Angeles,Angeles
5608,Italy,IT,ITA,,
5609,Canada,CA,CAN,Huntington,
5610,No Location,,,,Nan
1591,United Kingdom,UK,GBR,Otley,
5611,United States of America,US,USA,Usa,Connecticut
5612,Canada,CA,CAN,Toronto,
5613,United States of America,NY,NYC,,
5614,United States of America,US,USA,Houston,Texas
5615,United States of America,NY,NYC,,
5616,United States of America,NY,NYC,Greene,
1281,United States of America,US,USA,Falls,Idaho
5617,United States of America,US,USA,California,Northern
5618,United States of America,NY,NYC,,
5619,United States of America,US,USA,Kansas City,Kansas
5620,No Location,,,,Nan
5621,Canada,CA,CAN,Petaluma,
5622,United States of America,US,USA,Portland,Portland
3673,United States of America,US,USA,Virginia,Virginia
5623,Norway,NO,NOR,Oslo,Oslo
5624,India,IN,IND,Indianapolis,
40,United Kingdom,UK,GBR,,
1336,No Location,,,,Nan
5625,United Kingdom,UK,GBR,Yorkshire,
5626,United States of America,US,USA,Washington,Washington
5627,United States of America,US,USA,Omaha,Nebraska
5628,United States of America,US,USA,Usa,Illinois
5629,No Location,,,,Nan
5630,United States of America,US,USA,Usa,Louisiana
5631,United Kingdom,UK,GBR,London,
5632,United States of America,NY,NYC,,
5633,United Kingdom,UK,GBR,London,
5634,Mali,ML,MLI,San,
5635,United States of America,US,USA,Usa,California
5636,Moldova,MD,MDA,Baltimore,
5637,No Location,,,,Nan
5638,Italy,IT,ITA,,
5639,Moldova,MD,MDA,,
5640,United States of America,US,USA,Washington,Washington
5641,United Kingdom,UK,GBR,,
5642,United States of America,US,USA,Tampa,
5643,Morocco,MA,MAR,Cambridge,
5644,United States of America,US,USA,York,York
5645,Canada,CA,CAN,Palm Desert,
5646,United States of America,US,USA,Washington,Washington
5647,United Kingdom,UK,GBR,Birmingham,Birmingham
5648,Nepal,US,USA,Austin,
5649,No Location,,,,Nan
5650,Israel,IL,ISR,Chicago,
5651,United States of America,US,USA,Golden,
5652,No Location,,,,Nan
5653,No Location,,,,Nan
361,United Kingdom,UK,GBR,,
5654,United States of America,US,USA,Usa,New Jersey
5655,Turkey,TR,TUR,Of,
5656,No Location,,,,Nan
5657,No Location,,,,Nan
5658,United States of America,US,USA,,Illinois
4047,No Location,,,,Nan
5274,Laos,LA,LAO,,
5659,No Location,,,,Nan
5660,Belgium,BE,BEL,,
5661,United States of America,US,USA,Tallahassee,
3064,No Location,,,,Nan
5662,Japan,JP,JPN,Usa,
5663,Japan,JP,JPN,Usa,York
5664,No Location,,,,Nan
5665,Germany,DE,DEU,Madrid,Madrid
5666,United States of America,NY,NYC,York,York
5667,United States of America,NY,NYC,York,York
5668,United States of America,DC,USA,Of,
5669,Canada,CA,CAN,Santa,
5670,United States of America,US,USA,Usa,California
4493,United States of America,NY,NYC,,
5671,Switzerland,CH,CHE,Zürich,
5672,United States of America,US,USA,Warwick,
5673,United States of America,US,USA,Usa,Virginia
5674,Vatican City,VA,VAT,Richmond,
2196,No Location,,,,Nan
5675,United States of America,US,USA,Australia,Utah
5676,United States of America,NY,NYC,,
5677,United States of America,US,USA,West Linn,
5678,No Location,,,,Nan
5679,No Location,,,,Nan
4448,No Location,,,,Nan
5680,No Location,,,,Nan
5681,Japan,JP,JPN,Usa,
4592,United Kingdom,UK,GBR,High Wycombe,
5682,United States of America,US,USA,Chicago,
5683,No Location,,,,Nan
5684,Japan,JP,JPN,Usa,York
5685,United States of America,US,USA,Seminole,
5686,United States of America,US,USA,Usa,California
5687,United States of America,NY,NYC,,
5688,United States of America,NY,NYC,Oakland,
5689,No Location,,,,Nan
5690,United States of America,US,USA,,Maryland
5691,No Location,,,,Nan
445,No Location,,,,Nan
5692,No Location,,,,Nan
4289,United Kingdom,UK,GBR,Glasgow,
5693,United States of America,US,USA,Los Angeles,Angeles
5694,Canada,CA,CAN,Monterey,
5695,Venezuela,VE,VEN,Caracas,
5696,Japan,JP,JPN,Usa,York
4191,Laos,LA,LAO,Atlanta,
5697,United Kingdom,UK,GBR,,
5698,United States of America,US,USA,York,York
5699,United States of America,NY,NYC,Brooklyn,
5700,United States of America,US,USA,Sweet Home,
5701,No Location,,,,Nan
5702,United States of America,US,USA,York,York
5703,No Location,,,,Nan
5704,No Location,,,,Nan
698,United Kingdom,UK,GBR,London,
5705,No Location,,,,Nan
5706,United States of America,US,USA,Usa,Washington
5707,United Kingdom,UK,GBR,London,
5708,No Location,,,,Nan
5709,United Kingdom,UK,GBR,,
5710,No Location,,,,Nan
4432,United States of America,NY,NYC,Brooklyn,
4073,United Kingdom,UK,GBR,,
5711,No Location,,,,Nan
2558,United Kingdom,UK,GBR,Liverpool,Liverpool
5712,United Kingdom,UK,GBR,Bristol,
5713,United States of America,US,USA,Usa,California
5714,Mali,ML,MLI,San,
5715,No Location,,,,Nan
5716,No Location,,,,Nan
5717,Ireland,IE,IRL,Dublin,Dublin
5718,Burkina Faso,BF,BFA,Pâ,
5555,United Kingdom,UK,GBR,Edinburgh,
5719,Macau,MO,MAC,Jefferson,
5720,Finland,FI,FIN,Helsinki,
5721,Japan,JP,JPN,Usa,
5722,United States of America,US,USA,Usa,Florida
5723,United States of America,US,USA,Miami,
5724,Canada,US,USA,Ontario,Ontario
5725,United States of America,US,USA,Los Angeles,Angeles
5726,United States of America,US,USA,York,York
5727,United States of America,US,USA,Florida,Florida
5728,United States of America,US,USA,Houston,
5729,No Location,,,,Nan
5730,No Location,,,,Nan
5731,United States of America,US,USA,,Texas
5732,United Kingdom,UK,GBR,Belfast,Belfast
5733,United States of America,US,USA,Sweden,
4022,United States of America,NY,NYC,Rochester,
4221,No Location,,,,Nan
5734,United Kingdom,UK,GBR,London,
5735,Mongolia,MN,MNG,Minneapolis,
5684,Japan,JP,JPN,Usa,York
5736,United States of America,US,USA,Jordan,Utah
5737,United States of America,NY,NYC,York,York
5738,Germany,DE,DEU,Hamburg,Hamburg
5739,No Location,,,,Nan
5740,Mali,ML,MLI,San,
5741,No Location,,,,Nan
5742,United States of America,NY,NYC,York,York
5743,No Location,,,,Nan
5744,Canada,CA,CAN,,
5745,Hungary,HU,HUN,Budapest,Budapest
5746,United States of America,US,USA,Usa,California
1858,United Kingdom,UK,GBR,Cumbernauld,
2277,Turkey,TR,TUR,Of,
5747,India,IN,IND,Delhi,Delhi
5748,Colombia,CO,COL,Denver,
5546,Burkina Faso,BF,BFA,Pâ,
5749,No Location,,,,Nan
5750,Nigeria,NG,NGA,Lagos,Lagos
5751,No Location,,,,Nan
5752,United States of America,US,USA,,Texas
5753,United States of America,US,USA,Carolina,South Carolina
5754,No Location,,,,Nan
5755,India,IN,IND,Forest,
5756,South Africa,ZA,ZAF,,
5672,United States of America,US,USA,Warwick,
5311,No Location,,,,Nan
5757,Japan,JP,JPN,Usa,
952,No Location,,,,Nan
5758,No Location,,,,Nan
5759,No Location,,,,Nan
5760,Canada,CA,CAN,Victoria,Victoria
5761,Australia,AU,AUS,Cairns,
5762,United Kingdom,UK,GBR,,South East
157,No Location,,,,Nan
5763,United Kingdom,UK,GBR,,
5764,Moldova,MD,MDA,Spring,
5765,No Location,,,,Nan
5766,United States of America,US,USA,Washington,Washington
5767,Ireland,IE,IRL,Dublin,Dublin
2641,United States of America,US,USA,Wyoming,Wyoming
5768,United States of America,US,USA,Usa,Colorado
5769,Germany,DE,DEU,,Southern
5770,No Location,,,,Nan
4828,No Location,,,,Nan
5771,France,FR,FRA,Paris,
5772,United Kingdom,UK,GBR,Abingdon,Oxfordshire
5773,No Location,,,,Nan
5617,United States of America,US,USA,California,Northern
5774,United States of America,US,USA,Los Angeles,Angeles
5775,United States of America,NY,NYC,York,York
5776,No Location,,,,Nan
5777,Seychelles,SC,SYC,Bluffton,
5778,United States of America,NY,NYC,,
5779,No Location,,,,Nan
5780,United States of America,US,USA,Usa,Washington
5781,Japan,JP,JPN,Usa,
5782,Laos,LA,LAO,,
3858,Azerbaijan,AZ,AZE,Valley,
5783,No Location,,,,Nan
5784,United Kingdom,UK,GBR,,
5785,United States of America,US,USA,Usa,New Jersey
5786,Ireland,IE,IRL,,
4783,United States of America,US,USA,Austin,
5787,United States of America,DC,USA,Colombia,
5788,No Location,,,,Nan
5789,United States of America,US,USA,Chicago,
5790,Canada,CA,CAN,Riverside,
5791,United States of America,US,USA,California,California
5792,No Location,,,,Nan
5793,United Kingdom,UK,GBR,London,
5794,United Kingdom,UK,GBR,,
5795,No Location,,,,Nan
5796,Nigeria,NG,NGA,Lagos,Lagos
475,No Location,,,,Nan
5797,United Kingdom,UK,GBR,,
5798,United States of America,US,USA,Battle Creek,
5799,No Location,,,,Nan
5800,United States of America,US,USA,Usa,Illinois
2211,United States of America,US,USA,York,York
5801,No Location,,,,Nan
5802,Vatican City,VA,VAT,Fairfax,
5803,Ireland,IE,IRL,Palmerston,
5804,Canada,CA,CAN,Vancouver,
698,United Kingdom,UK,GBR,London,
5805,Australia,AU,AUS,Sydney,
5806,Seychelles,SC,SYC,Of,
4708,No Location,,,,Nan
5807,United States of America,US,USA,Providence,
5808,No Location,,,,Nan
5809,United States of America,US,USA,Minneapolis,Minnesota
5810,No Location,,,,Nan
5811,United States of America,US,USA,South Amboy,
5812,Laos,LA,LAO,Orléans,
5813,Tunisia,TN,TUN,Nashville,
5814,No Location,,,,Nan
5815,United States of America,NY,NYC,Manhattan,
5816,United States of America,US,USA,Orlando,
5817,Nauru,NR,NRU,Bowral,
911,United Kingdom,UK,GBR,London,
5818,Gabon,GA,GAB,Cartersville,
5819,No Location,,,,Nan
5684,Japan,JP,JPN,Usa,York
5820,No Location,,,,Nan
5821,United States of America,US,USA,Virginia,Virginia
5822,United States of America,US,USA,Washington,Washington
5823,United States of America,NY,NYC,,
5824,No Location,,,,Nan
785,United States of America,US,USA,Chicago,
4356,United States of America,US,USA,Usa,Washington
5825,United States of America,US,USA,Queens,
5826,No Location,,,,Nan
4211,South Africa,ZA,ZAF,Middelburg,
5827,No Location,,,,Nan
5828,No Location,,,,Nan
5829,No Location,,,,Nan
3163,India,IN,IND,Hyderābād,
5830,No Location,,,,Nan
5831,United Kingdom,UK,GBR,Durham,Durham
5832,United States of America,US,USA,,New Jersey
5833,No Location,,,,Nan
5834,United States of America,US,USA,Usa,Texas
5835,Morocco,MA,MAR,Framingham,
5836,New Zealand,NZ,NZL,,
3452,Vatican City,VA,VAT,,
5837,Tonga,TO,TON,,
5838,United States of America,US,USA,Los Angeles,Angeles
3690,United States of America,NY,NYC,York,York
5839,United States of America,US,USA,Florida,Florida
5840,United States of America,US,USA,Of,California
5841,United States of America,NY,NYC,,
5842,New Caledonia,NC,NCL,Lenoir,
5843,United Kingdom,UK,GBR,,
196,United States of America,US,USA,Usa,Virginia
1565,Canada,CA,CAN,Ottawa,Ontario
5684,Japan,JP,JPN,Usa,York
5844,Australia,AU,AUS,Sydney,
5845,No Location,,,,Nan
698,United Kingdom,UK,GBR,London,
5846,United States of America,US,USA,San,California
5847,Lebanon,LB,LBN,Beirut,
5848,United States of America,US,USA,Missouri City,Missouri
2004,United States of America,US,USA,Sussex,
5849,Philippines,PH,PHL,Bay,Bay
5850,No Location,,,,Nan
5074,United States of America,US,USA,Orlando,
5851,No Location,,,,Nan
5852,United Kingdom,UK,GBR,,
5853,Australia,AU,AUS,Adelaide,South Australia
5854,United Kingdom,UK,GBR,Van,Van
5855,United States of America,US,USA,Usa,California
4614,Andorra,AD,AND,,
1653,Mali,ML,MLI,San,
5856,United States of America,US,USA,York,York
2546,United States of America,US,USA,Chicago,Angeles
5857,United States of America,US,USA,Burton,
5858,No Location,,,,Nan
5859,Ireland,IE,IRL,Cork,Cork
5860,No Location,,,,Nan
5861,United Kingdom,UK,GBR,Sydney,New South Wales
5862,United States of America,US,USA,Usa,Colorado
5863,Germany,DE,DEU,Hannover,
5684,Japan,JP,JPN,Usa,York
5864,Canada,CA,CAN,Folsom,
5865,United States of America,US,USA,Austin,
5866,No Location,,,,Nan
5867,No Location,,,,Nan
5687,United States of America,NY,NYC,,
5868,No Location,,,,Nan
5869,United States of America,NY,NYC,York,York
5870,South Africa,ZA,ZAF,Newcastle,
5871,No Location,,,,Nan
5872,United States of America,US,USA,Tampa,
5873,United States of America,NY,NYC,,
5874,No Location,,,,Nan
5875,Mali,ML,MLI,San,
5876,No Location,,,,Nan
5877,United States of America,US,USA,Calabasas,
2421,Morocco,MA,MAR,Boston,
5878,United States of America,US,USA,Delaware,Delaware
5879,Sao Tome and Principe,ST,STP,,
5880,Canada,CA,CAN,Oshawa,Ontario
5881,United Kingdom,UK,GBR,Somerset,Somerset
5882,United States of America,US,USA,Usa,Florida
5883,United States of America,US,USA,Usa,Vermont
5884,United States of America,US,USA,Los Angeles,Angeles
4978,United States of America,US,USA,Washington,Washington
5885,United States of America,US,USA,Omaha,Washington
5886,Philippines,PH,PHL,Bay,Bay
2658,United Kingdom,UK,GBR,London,
5887,Canada,CA,CAN,Palo,
4712,Japan,JP,JPN,Usa,York
5841,United States of America,NY,NYC,,
3690,United States of America,NY,NYC,York,York
5888,United States of America,US,USA,Los Angeles,Angeles
5889,No Location,,,,Nan
5890,United States of America,US,USA,Usa,Arizona
5891,No Location,,,,Nan
1311,Portugal,PT,PRT,,
5892,United Kingdom,UK,GBR,London,Westminster
5893,India,IN,IND,,
5894,India,IN,IND,Gaya,
5895,No Location,,,,Nan
5896,United Kingdom,UK,GBR,Sydney,New South Wales
5728,United States of America,US,USA,Houston,
5897,United States of America,NY,NYC,York,York
5898,Burkina Faso,BF,BFA,Pâ,
5899,Ghana,GH,GHA,Wa,
5900,United States of America,US,USA,Macedonia,
5901,No Location,,,,Nan
5902,No Location,,,,Nan
1029,No Location,,,,Nan
5903,No Location,,,,Nan
5904,Ireland,IE,IRL,,
5905,Burkina Faso,BF,BFA,Pâ,
5906,Germany,DE,DEU,Ahlen,
5553,United States of America,US,USA,Grand Rapids,Michigan
5907,United Kingdom,UK,GBR,Romsey,Hampshire
5908,United States of America,US,USA,Alexandria,Washington
2453,Mongolia,MN,MNG,,Paul
5909,United States of America,US,USA,California,California
5910,No Location,,,,Nan
5911,No Location,,,,Nan
5912,United States of America,US,USA,Dallas,
5913,Australia,AU,AUS,Sydney,
5914,No Location,,,,Nan
5915,No Location,,,,Nan
5916,United Kingdom,UK,GBR,London,
5917,Azerbaijan,AZ,AZE,Scottsdale,
5131,United Kingdom,UK,GBR,London,
5918,Myanmar,MM,MMR,An,Coast
5919,Canada,CA,CAN,Charlottetown,
5920,United States of America,US,USA,Usa,Kansas
5921,No Location,,,,Nan
5922,United States of America,US,USA,Brunswick,New Brunswick
4004,No Location,,,,Nan
5923,United States of America,US,USA,Ontario,Ontario
5924,United States of America,US,USA,Bellevue,Washington
5925,No Location,,,,Nan
5926,United Kingdom,UK,GBR,Manchester,Manchester
5395,Japan,JP,JPN,,
5927,No Location,,,,Nan
5928,New Caledonia,NC,NCL,Wé,
5929,No Location,,,,Nan
5930,No Location,,,,Nan
5931,India,IN,IND,,
5932,United Kingdom,UK,GBR,Chester,
5933,No Location,,,,Nan
5934,United States of America,NY,NYC,York,York
5935,United States of America,US,USA,Usa,Texas
5936,Burkina Faso,BF,BFA,Pâ,
5937,United States of America,NY,NYC,,
5938,No Location,,,,Nan
5939,United Kingdom,UK,GBR,,
5940,United Kingdom,UK,GBR,Fife,Fife
5941,United States of America,US,USA,,Ohio
698,United Kingdom,UK,GBR,London,
5942,United States of America,US,USA,York,York
5943,United States of America,US,USA,Washington,Washington
5944,United States of America,US,USA,Usa,Massachusetts
4890,India,IN,IND,Wayne,
951,United States of America,US,USA,Usa,Wisconsin
5415,United States of America,US,USA,Austin,
5945,No Location,,,,Nan
5946,United States of America,US,USA,Milwaukie,
5947,Turkey,TR,TUR,Of,
5948,India,IN,IND,,
5949,United Kingdom,UK,GBR,,
4291,Pakistan,PK,PAK,,
3087,Ireland,IE,IRL,,
5411,United Kingdom,UK,GBR,Surrey,Surrey
5950,United States of America,US,USA,Austin,
5951,United States of America,NY,NYC,,
5952,No Location,,,,Nan
2500,United States of America,US,USA,Washington,Washington
5953,United States of America,US,USA,Houston,Texas
5954,United Kingdom,UK,GBR,Havant,
5955,Canada,CA,CAN,Palmdale,
1311,Portugal,PT,PRT,,
5956,United States of America,US,USA,Houston,Texas
2616,United Kingdom,UK,GBR,,
5105,No Location,,,,Nan
5957,No Location,,,,Nan
5958,Ghana,GH,GHA,,
5959,Moldova,MD,MDA,Baltimore,
5960,No Location,,,,Nan
5961,United States of America,NY,NYC,,
5962,United States of America,NY,NYC,,
5963,South Africa,ZA,ZAF,Johannesburg,
5964,No Location,,,,Nan
414,No Location,,,,Nan
5965,Greenland,GL,GRL,Nuuk,
5966,No Location,,,,Nan
5967,No Location,,,,Nan
5968,United States of America,US,USA,,
5969,Iran,IR,IRN,Mashhad,
5970,South Africa,ZA,ZAF,Cape Town,
5971,United States of America,US,USA,Washington,Washington
5972,United Kingdom,UK,GBR,Manchester,Manchester
5973,Malaysia,MY,MYS,,
5684,Japan,JP,JPN,Usa,York
5974,United States of America,NY,NYC,York,York
5975,New Zealand,NZ,NZL,Auckland,Auckland
5976,Canada,CA,CAN,,
5977,No Location,,,,Nan
5978,Canada,CA,CAN,Vancouver,
5979,No Location,,,,Nan
5816,United States of America,US,USA,Orlando,
5980,United Kingdom,UK,GBR,Sheffield,Sheffield
5981,Canada,CA,CAN,San,
5982,United Kingdom,UK,GBR,,
2268,Vatican City,VA,VAT,Arlington,
5983,Japan,JP,JPN,Usa,Coast
5984,No Location,,,,Nan
5985,United States of America,US,USA,Jackson,Mississippi
5986,No Location,,,,Nan
5987,United States of America,US,USA,Valley,California
5988,Cuba,CU,CUB,Australia,
5989,No Location,,,,Nan
5990,No Location,,,,Nan
3714,United States of America,US,USA,,Pennsylvania
5991,Montenegro,ME,MNE,Portland,Portland
5684,Japan,JP,JPN,Usa,York
5992,Mali,ML,MLI,San,
5993,Indonesia,ID,IDN,Meridian,
5994,United Kingdom,UK,GBR,Edinburgh,
5995,Colombia,CO,COL,Arvada,
5859,Ireland,IE,IRL,Cork,Cork
5996,No Location,,,,Nan
5997,No Location,,,,Nan
3921,Israel,IL,ISR,Chicago,
5525,Saudi Arabia,SA,SAU,,
1061,Portugal,PT,PRT,,Lisboa
5998,No Location,,,,Nan
5999,Turkey,TR,TUR,Of,
6000,United Kingdom,UK,GBR,London,
6001,United States of America,US,USA,California,California
6002,Vatican City,VA,VAT,Herndon,
6003,Uganda,UG,UGA,Kampala,Kampala
6004,Brazil,BR,BRA,Feliz,
6005,United States of America,US,USA,Atlanta,
6006,United States of America,US,USA,Los Angeles,Angeles
3690,United States of America,NY,NYC,York,York
6007,No Location,,,,Nan
6008,Canada,CA,CAN,,Nova Scotia
6009,United States of America,US,USA,Orlando,
6010,United States of America,US,USA,Los Angeles,Angeles
6011,Burkina Faso,BF,BFA,Pâ,
6012,United Kingdom,UK,GBR,Glasgow,
4090,No Location,,,,Nan
6013,Japan,JP,JPN,Usa,
6014,United States of America,US,USA,Mexico,New Mexico
6015,United Kingdom,UK,GBR,London,
6016,Cayman Islands,KY,CYM,Louisville,
6017,United Kingdom,UK,GBR,Halesowen,
6018,No Location,,,,Nan
6019,United States of America,US,USA,,Ohio
6020,United States of America,NY,NYC,York,York
6021,No Location,,,,Nan
6022,United States of America,US,USA,Detroit,
6023,No Location,,,,Nan
6024,United States of America,US,USA,Usa,California
6025,No Location,,,,Nan
698,United Kingdom,UK,GBR,London,
6026,Moldova,MD,MDA,Baltimore,
6027,No Location,,,,Nan
5405,No Location,,,,Nan
6028,Norway,NO,NOR,,
6029,No Location,,,,Nan
6030,Turkey,TR,TUR,Istanbul,
6031,Laos,LA,LAO,Baton Rouge,
6032,United Kingdom,UK,GBR,Bristol,
6033,United States of America,US,USA,,Texas
6034,United States of America,NY,NYC,Rochester,
6035,United States of America,US,USA,Houston,
6036,United States of America,US,USA,Usa,Massachusetts
5690,United States of America,US,USA,,Maryland
6037,United States of America,US,USA,Usa,Alabama
6038,No Location,,,,Nan
6039,United States of America,US,USA,Calabasas,California
6040,United States of America,US,USA,Los Angeles,Angeles
6041,United Kingdom,UK,GBR,Leeds,Leeds
6042,No Location,,,,Nan
5220,No Location,,,,Nan
6043,United States of America,US,USA,York,York
6044,United States of America,NY,NYC,,
6045,No Location,,,,Nan
6046,Canada,CA,CAN,Cupertino,
6047,United States of America,US,USA,Greece,
6048,Canada,CA,CAN,Usa,
6049,United States of America,US,USA,Usa,Florida
6050,No Location,,,,Nan
4989,Andorra,AD,AND,,
6051,United States of America,US,USA,Usa,California
6052,Canada,CA,CAN,Toronto,
6053,United States of America,US,USA,,Georgia
6054,United States of America,US,USA,Macedon,Victoria
6055,Israel,IL,ISR,Chicago,
6056,United States of America,US,USA,California,California
6057,No Location,,,,Nan
6058,United States of America,US,USA,Usa,Massachusetts
6059,Japan,JP,JPN,Usa,
6060,No Location,,,,Nan
6061,No Location,,,,Nan
5816,United States of America,US,USA,Orlando,
6062,United Kingdom,UK,GBR,Durham,Durham
6063,United States of America,US,USA,Holland,
6064,No Location,,,,Nan
6065,United States of America,NY,NYC,York,York
6066,United States of America,US,USA,Portland,Portland
6067,France,FR,FRA,,
6068,No Location,,,,Nan
6069,No Location,,,,Nan
6070,No Location,,,,Nan
6071,United States of America,US,USA,,Kentucky
6072,United States of America,US,USA,Usa,Massachusetts
6073,No Location,,,,Nan
6074,United States of America,US,USA,Los Angeles,Angeles
5318,United States of America,US,USA,Colorado,Colorado
6075,Austria,AT,AUT,Cork,Cork
6076,No Location,,,,Nan
6077,United States of America,NY,NYC,York,York
806,No Location,,,,Nan
4542,Switzerland,CH,CHE,,
6078,United States of America,US,USA,Usa,North Carolina
6079,No Location,,,,Nan
6080,United States of America,US,USA,Washington,Washington
6081,United States of America,US,USA,Houston,
6082,United States of America,US,USA,Usa,Texas
6083,No Location,,,,Nan
6084,No Location,,,,Nan
6085,India,IN,IND,Dublin,Dublin
5684,Japan,JP,JPN,Usa,York
6086,No Location,,,,Nan
6087,No Location,,,,Nan
6088,No Location,,,,Nan
6089,United States of America,US,USA,Louisville,Kentucky
6090,Netherlands,NL,NLD,,
6091,United States of America,NY,NYC,York,York
3087,Ireland,IE,IRL,,
6092,No Location,,,,Nan
6093,United States of America,US,USA,Florida,Florida
6094,Tunisia,TN,TUN,Tunis,Tunis
6095,Israel,IL,ISR,,
6096,United Kingdom,UK,GBR,Long Eaton,
6097,United States of America,US,USA,Dallas,
6098,Andorra,AD,AND,Street,
6099,Laos,LA,LAO,Orléans,
6100,No Location,,,,Nan
6101,Argentina,AR,ARG,Little Rock,
5771,France,FR,FRA,Paris,
6102,Australia,AU,AUS,Sydney,
6103,No Location,,,,Nan
6104,No Location,,,,Nan
6105,No Location,,,,Nan
6106,United Kingdom,UK,GBR,,Oxfordshire
6107,Philippines,PH,PHL,Jordan,
6108,Germany,DE,DEU,Blomberg,
6109,No Location,,,,Nan
6110,India,IN,IND,,
6111,No Location,,,,Nan
6112,United States of America,US,USA,Tampa,
6113,United States of America,US,USA,Usa,Delaware
1626,United States of America,US,USA,Washington,Washington
6114,Morocco,MA,MAR,Melrose,
4712,Japan,JP,JPN,Usa,York
6115,United States of America,US,USA,Usa,Vermont
6116,No Location,,,,Nan
6117,No Location,,,,Nan
6118,United Kingdom,UK,GBR,,South East
3895,No Location,,,,Nan
6119,Netherlands,NL,NLD,,
6120,Moldova,MD,MDA,Annapolis,
6121,No Location,,,,Nan
3777,United Kingdom,UK,GBR,Liverpool,Liverpool
6122,Azerbaijan,AZ,AZE,Phoenix,
6123,No Location,,,,Nan
6124,No Location,,,,Nan
6125,No Location,,,,Nan
6126,United States of America,US,USA,Usa,Georgia
6127,No Location,,,,Nan
6128,United States of America,US,USA,Usa,South Carolina
6129,United States of America,US,USA,Baltimore,
6130,No Location,,,,Nan
6131,United States of America,US,USA,Valley,
6109,No Location,,,,Nan
6132,United States of America,US,USA,Cincinnati,Ohio
6133,Iraq,IQ,IRQ,Erbil,
6134,No Location,,,,Nan
6135,No Location,,,,Nan
6136,United States of America,US,USA,Malta,
6137,No Location,,,,Nan
2506,No Location,,,,Nan
6138,Moldova,MD,MDA,Baltimore,
3311,No Location,,,,Nan
6139,Canada,CA,CAN,Edmonton,Alberta
